danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.98,0.595,8,-7.629,1,0.0695,0.0469,0.155,0.11,0.698,113.044,audio_features,4FC3B2ogUmH7TJVo9gHNZC,spotify:track:4FC3B2ogUmH7TJVo9gHNZC,https://api.spotify.com/v1/tracks/4FC3B2ogUmH7TJVo9gHNZC,https://api.spotify.com/v1/audio-analysis/4FC3B2ogUmH7TJVo9gHNZC,131681,4
0.814,0.738,11,-6.011,1,0.283,0.0855,0.0,0.269,0.507,152.112,audio_features,74JfQsOBIs7z4y6jDrbDmh,spotify:track:74JfQsOBIs7z4y6jDrbDmh,https://api.spotify.com/v1/tracks/74JfQsOBIs7z4y6jDrbDmh,https://api.spotify.com/v1/audio-analysis/74JfQsOBIs7z4y6jDrbDmh,107368,4
0.861,0.485,4,-8.61,1,0.128,0.742,2.63e-06,0.0848,0.562,108.129,audio_features,2oUSzRUIE4GvMw29rLKlWw,spotify:track:2oUSzRUIE4GvMw29rLKlWw,https://api.spotify.com/v1/tracks/2oUSzRUIE4GvMw29rLKlWw,https://api.spotify.com/v1/audio-analysis/2oUSzRUIE4GvMw29rLKlWw,135346,4
0.807,0.476,8,-8.07,0,0.482,0.492,0.0,0.101,0.443,149.096,audio_features,2WWlNStuw5Tqg5noCtR7oq,spotify:track:2WWlNStuw5Tqg5noCtR7oq,https://api.spotify.com/v1/tracks/2WWlNStuw5Tqg5noCtR7oq,https://api.spotify.com/v1/audio-analysis/2WWlNStuw5Tqg5noCtR7oq,104698,4
0.423,0.657,4,-6.361,1,0.0486,0.607,0.0296,0.304,0.567,129.904,audio_features,26yvlxKTtN2u3mpbl6AIeI,spotify:track:26yvlxKTtN2u3mpbl6AIeI,https://api.spotify.com/v1/tracks/26yvlxKTtN2u3mpbl6AIeI,https://api.spotify.com/v1/audio-analysis/26yvlxKTtN2u3mpbl6AIeI,120216,4
0.497,0.661,0,-7.364,1,0.0517,0.515,8.57e-05,0.212,0.132,172.507,audio_features,0K5arhAxYWj7QxFhpKJe6z,spotify:track:0K5arhAxYWj7QxFhpKJe6z,https://api.spotify.com/v1/tracks/0K5arhAxYWj7QxFhpKJe6z,https://api.spotify.com/v1/audio-analysis/0K5arhAxYWj7QxFhpKJe6z,137739,3
0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,3w0w2T288dec0mgeZZqoNN,spotify:track:3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/tracks/3w0w2T288dec0mgeZZqoNN,https://api.spotify.com/v1/audio-analysis/3w0w2T288dec0mgeZZqoNN,264324,4
0.866,0.722,4,-6.497,0,0.143,0.213,0.0,0.183,0.912,137.969,audio_features,7biChppM3c8q7qcVl7ceb2,spotify:track:7biChppM3c8q7qcVl7ceb2,https://api.spotify.com/v1/tracks/7biChppM3c8q7qcVl7ceb2,https://api.spotify.com/v1/audio-analysis/7biChppM3c8q7qcVl7ceb2,169130,4
0.734,0.813,5,-5.503,0,0.0463,0.105,0.0,0.354,0.511,116.007,audio_features,1sgGy5HcUAdYoWGj3RXmYb,spotify:track:1sgGy5HcUAdYoWGj3RXmYb,https://api.spotify.com/v1/tracks/1sgGy5HcUAdYoWGj3RXmYb,https://api.spotify.com/v1/audio-analysis/1sgGy5HcUAdYoWGj3RXmYb,215302,4
0.65,0.477,8,-5.944,1,0.144,0.207,0.0,0.588,0.437,135.419,audio_features,0olubSy8HbZBrCJlSHV7ex,spotify:track:0olubSy8HbZBrCJlSHV7ex,https://api.spotify.com/v1/tracks/0olubSy8HbZBrCJlSHV7ex,https://api.spotify.com/v1/audio-analysis/0olubSy8HbZBrCJlSHV7ex,144923,4
